step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
14	0.2900	0.4200	0.5800	0.0000	10	10	11	0	0.000000e0	0.000000e0	2.409596e-14
14	0.2900	0.4200	0.5800	0.0000	11	6	12	1	0.000000e0	0.000000e0	2.409596e-14
15	0.3100	0.3800	0.6200	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	1	1	2	0	0.000000e0	0.000000e0	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	2	2	3	0	5.780857e-15	6.714391e-15	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	3	3	4	0	5.879109e-15	6.823901e-15	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	4	4	5	0	1.067665e-14	1.243243e-14	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	5	5	6	0	5.469861e-14	6.533582e-14	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	6	6	7	0	5.469935e-14	6.533666e-14	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	7	7	8	0	1.067577e-14	1.243145e-14	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	8	8	9	0	5.824925e-15	6.763393e-15	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	9	9	10	0	0.000000e0	0.000000e0	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	10	10	11	0	0.000000e0	0.000000e0	1.482353e-13
15	0.3100	0.3800	0.6200	0.0000	11	6	12	1	0.000000e0	0.000000e0	1.482353e-13
16	0.3300	0.3400	0.6600	0.0000	0	0	1	0	0.000000e0	0.000000e0	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	1	1	2	0	0.000000e0	0.000000e0	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	2	2	3	0	3.206444e-14	3.877883e-14	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	3	3	4	0	3.279213e-14	3.961603e-14	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	4	4	5	0	5.815659e-14	7.058902e-14	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	5	5	6	0	2.671037e-13	3.324395e-13	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	6	6	7	0	2.671087e-13	3.324454e-13	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	7	7	8	0	5.815024e-14	7.058169e-14	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	8	8	9	0	3.239358e-14	3.915697e-14	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	9	9	10	0	0.000000e0	0.000000e0	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	10	10	11	0	0.000000e0	0.000000e0	7.477694e-13
16	0.3300	0.3400	0.6600	0.0000	11	6	12	1	0.000000e0	0.000000e0	7.477694e-13
17	0.3500	0.3000	0.7000	0.0000	0	0	1	0	0.000000e0	0.000000e0	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	1	1	2	0	0.000000e0	0.000000e0	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	2	2	3	0	1.446507e-13	1.834295e-13	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	3	3	4	0	1.489380e-13	1.885540e-13	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	4	4	5	0	2.572982e-13	3.278873e-13	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	5	5	6	0	1.091177e-12	1.423617e-12	3.137121e-12
17	0.3500	0.3000	0.7000	0.0000	6	6	7	0	1.091205e-12	1.423650e-12	3.137121e-12
