step	s	h_x	j_apo	j_lig_per_edge	edge_id	edge_a	edge_b	is_lig_attach	disc_step	disc_cum	total_disc_step
17	0.3500	0.3000	0.7000	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.284086e-2
17	0.3500	0.3000	0.7000	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.284086e-2
18	0.3700	0.2600	0.7400	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	2	0	4	0	1.747625e-4	5.235439e-4	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	4	0	8	0	1.196062e-2	1.068848e-1	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.213538e-2
18	0.3700	0.2600	0.7400	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.213538e-2
19	0.3900	0.2200	0.7800	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	2	0	4	0	2.078625e-4	7.314064e-4	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	4	0	8	0	1.132692e-2	1.182118e-1	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.153479e-2
19	0.3900	0.2200	0.7800	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.153479e-2
20	0.4100	0.1800	0.8200	0.0000	0	0	1	0	0.000000e0	0.000000e0	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	1	0	2	0	0.000000e0	0.000000e0	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	2	0	4	0	2.552162e-4	9.866226e-4	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	3	0	6	0	0.000000e0	0.000000e0	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	4	0	8	0	1.124461e-2	1.294564e-1	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	5	5	8	0	0.000000e0	2.187912e-33	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	6	7	8	0	0.000000e0	0.000000e0	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	7	8	9	0	0.000000e0	0.000000e0	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	8	3	4	0	0.000000e0	4.982321e-38	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	9	3	10	0	0.000000e0	0.000000e0	1.149982e-2
20	0.4100	0.1800	0.8200	0.0000	10	5	11	1	0.000000e0	0.000000e0	1.149982e-2
21	0.4300	0.1400	0.8600	0.0000	0	0	1	0	0.000000e0	0.000000e0	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	1	0	2	0	0.000000e0	0.000000e0	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	2	0	4	0	3.008217e-4	1.287444e-3	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	3	0	6	0	0.000000e0	0.000000e0	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	4	0	8	0	9.028870e-3	1.384852e-1	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	5	5	8	0	0.000000e0	2.187912e-33	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	6	7	8	0	0.000000e0	0.000000e0	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	7	8	9	0	0.000000e0	0.000000e0	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	8	3	4	0	0.000000e0	4.982321e-38	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	9	3	10	0	0.000000e0	0.000000e0	9.329691e-3
21	0.4300	0.1400	0.8600	0.0000	10	5	11	1	0.000000e0	0.000000e0	9.329691e-3
22	0.4500	0.1000	0.9000	0.0000	0	0	1	0	0.000000e0	0.000000e0	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	1	0	2	0	0.000000e0	0.000000e0	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	2	0	4	0	4.109577e-4	1.698402e-3	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	3	0	6	0	0.000000e0	0.000000e0	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	4	0	8	0	6.448505e-3	1.449337e-1	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	5	5	8	0	0.000000e0	2.187912e-33	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	6	7	8	0	0.000000e0	0.000000e0	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	7	8	9	0	0.000000e0	0.000000e0	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	8	3	4	0	0.000000e0	4.982321e-38	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	9	3	10	0	0.000000e0	0.000000e0	6.859463e-3
22	0.4500	0.1000	0.9000	0.0000	10	5	11	1	0.000000e0	0.000000e0	6.859463e-3
23	0.4700	0.0600	0.9400	0.0000	0	0	1	0	0.000000e0	0.000000e0	5.284328e-3
23	0.4700	0.0600	0.9400	0.0000	1	0	2	0	0.000000e0	0.000000e0	5.284328e-3
23	0.4700	0.0600	0.9400	0.0000	2	0	4	0	5.668279e-4	2.265230e-3	5.284328e-3
23	0.4700	0.0600	0.9400	0.0000	3	0	6	0	0.000000e0	0.000000e0	5.284328e-3
23	0.4700	0.0600	0.9400	0.0000	4	0	8	0	4.717500e-3	1.496512e-1	5.284328e-3
23	0.4700	0.0600	0.9400	0.0000	5	5	8	0	0.000000e0	2.187912e-33	5.284328e-3
23	0.4700	0.0600	0.9400	0.0000	6	7	8	0	0.000000e0	0.000000e0	5.284328e-3
